"2019-04-26,07:59:00",0.05946666666666667,0.028666666666666667,0,1,1
"2019-04-26,08:00:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,08:01:00",0.0,0.0,0,0,0
"2019-04-26,08:02:00",0.04613333333333333,0.047466666666666664,0,2,3
"2019-04-26,08:03:00",0.1512,0.0224,0,2,3
"2019-04-26,08:04:00",0.1296,0.0808,0,2,2
"2019-04-26,08:05:00",0.1088,0.0472,0,3,5
"2019-04-26,08:06:00",0.0,0.0,0,0,0
"2019-04-26,08:07:00",0.4656,0.058666666666666666,0,4,4
"2019-04-26,08:08:00",0.15733333333333333,0.036,0,2,4
"2019-04-26,08:09:00",0.0,0.028666666666666667,0,0,0
"2019-04-26,08:10:00",0.48933333333333334,0.0136,0,2,3
"2019-04-26,08:11:00",0.034133333333333335,0.03626666666666667,0,2,2
"2019-04-26,08:12:00",0.018133333333333335,0.0344,0,2,3
"2019-04-26,08:13:00",12.148533333333333,1.6137333333333332,0,5,6
"2019-04-26,08:14:00",0.03493333333333333,0.0448,0,2,3
"2019-04-26,08:15:00",0.0144,0.0224,0,2,2
"2019-04-26,08:16:00",0.256,0.047466666666666664,0,3,4
"2019-04-26,08:17:00",0.2752,0.0384,0,2,3
"2019-04-26,08:18:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,08:19:00",0.0061333333333333335,0.015066666666666667,0,1,1
"2019-04-26,08:20:00",0.09973333333333333,0.04986666666666666,0,2,4
"2019-04-26,08:21:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,08:22:00",0.07146666666666666,0.048,0,2,3
"2019-04-26,08:23:00",0.2808,0.0808,0,3,4
"2019-04-26,08:24:00",0.07386666666666666,0.0112,0,2,3
"2019-04-26,08:25:00",0.06293333333333333,0.06506666666666666,0,3,3
"2019-04-26,08:26:00",0.43146666666666667,0.0224,0,3,3
"2019-04-26,08:27:00",0.09173333333333333,0.07573333333333333,0,2,4
"2019-04-26,08:28:00",0.1512,0.036,0,2,3
"2019-04-26,08:29:00",0.0936,0.06493333333333333,0,2,3
"2019-04-26,08:30:00",0.0,0.0,0,0,0
"2019-04-26,08:31:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,08:32:00",0.12906666666666666,0.0248,0,2,4
"2019-04-26,08:33:00",0.2088,0.092,0,3,4
"2019-04-26,08:34:00",0.1224,0.07226666666666667,0,4,5
"2019-04-26,08:35:00",0.21573333333333333,0.0,0,2,2
"2019-04-26,08:36:00",0.2752,0.0384,0,2,3
"2019-04-26,08:37:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,08:38:00",0.12586666666666665,0.047466666666666664,0,3,3
"2019-04-26,08:39:00",0.0,0.015066666666666667,0,0,0
"2019-04-26,08:40:00",0.0,0.0,0,0,0
"2019-04-26,08:41:00",0.0,0.0,0,0,0
"2019-04-26,08:42:00",0.1928,0.104,0,3,5
"2019-04-26,08:43:00",0.15466666666666667,0.058666666666666666,0,4,4
"2019-04-26,08:44:00",0.0144,0.0224,0,2,2
"2019-04-26,08:45:00",0.4458666666666667,0.0,0,3,3
"2019-04-26,08:46:00",11.9136,1.3158666666666667,0,3,3
"2019-04-26,08:47:00",0.0936,0.06346666666666667,0,2,3
"2019-04-26,08:48:00",0.1512,0.036,0,2,3
